"State","Month","Year","Dayweek","Time","Crash_Type","Bus_Involvement","Heavy_Rigid_Truck_Involvement","Articulated_Truck_Involvement","Speed_Limit","Road_User","Gender","Age","National_Remoteness_Areas_2021","SA4_Name_2021","National_LGA_Name_2021","National_Road_Type","Christmas_Period","Easter_Period","Crash_ID"
"NSW","4","2020","Tuesday","07:15:00","Single","No","No","No","100","Driver","Male","72","Outer Regional Australia","Riverina","Junee","Arterial Road","No","No","120201228803"
"NSW","9","2019","Wednesday","04:50:00","Multiple","No","No","Yes","100","Driver","Male","36","Inner Regional Australia","Mid North Coast","Nambucca Valley","Access road","No","No","120191210899"
"WA","3","2025","Sunday","15:04:00","Single","No","No","No","110","Driver","Male","26","Inner Regional Australia","Perth - South East","Armadale","National or State Highway","No","No","6602694532028385401"
"WA","4","2018","Wednesday","00:10:00","Single","No","No","No","50","Passenger","Male","23","Inner Regional Australia","Western Australia - Wheat Belt","Boddington","Arterial Road","No","No","4201813664"
"WA","4","2022","Saturday","09:54:00","Single","No","No","No","110","Driver","Male","18","Outer Regional Australia","Bunbury","Bridgetown-Greenbushes","National or State Highway","No","No","6853294971521601875"
"QLD","11","2024","Saturday","21:00:00","Single","No","No","No","80","Pedestrian","Male","29","Outer Regional Australia","Cairns","Douglas","National or State Highway","No","No","2359845243332481822"
"NSW","7","2023","Friday","14:50:00","Multiple","No","No","Yes","110","Driver","Male","62","Inner Regional Australia","Richmond - Tweed","Byron","National or State Highway","No","No","7374425415458022624"
"WA","5","2024","Monday","19:53:00","Single","No","No","No","110","Driver","Male","30","Outer Regional Australia","Western Australia - Wheat Belt","Gingin","National or State Highway","No","No","4250047863383222968"
"SA","2","2024","Tuesday","13:22:00","Single","No","No","No","100","Driver","Male","36","Inner Regional Australia","Barossa - Yorke - Mid North","Barossa","Sub-arterial Road","No","No","8589326003107099195"
"NT","8","2015","Thursday","14:00:00","Single","No","No","No","110","Passenger","Male","32","Remote Australia","Northern Territory - Outback","West Daly","Access road","No","No","72015147461"
"NSW","6","2023","Sunday","23:30:00","Single","Yes","No","No","80","Passenger","Female","29","Inner Regional Australia","Hunter Valley exc Newcastle","Cessnock","National or State Highway","No","No","1380117170024453555"
"NSW","6","2020","Wednesday","11:25:00","Single","No","No","No","60","Pedestrian","Male","65","Major Cities of Australia","Central Coast","Central Coast (NSW)","Local Road","No","No","120201234465"
"QLD","3","2024","Sunday","22:00:00","Multiple","No","No","No","100","Driver","Female","39","Inner Regional Australia","Wide Bay","Fraser Coast","Sub-arterial Road","No","Yes","5335977646810802828"
"VIC","8","2021","Thursday","15:52:00","Single","No","No","No","100","Passenger","Male","16","Inner Regional Australia","Warrnambool and South West","Moyne","Local Road","No","No","6716678770617948567"
"WA","7","2022","Friday","12:54:00","Multiple","No","No","No","110","Motorcycle rider","Male","53","Inner Regional Australia","Western Australia - Wheat Belt","Gingin","Local Road","No","No","8164542363362803566"
"WA","1","2025","Sunday","22:45:00","Single","No","No","No","70","Driver","Male","17","Outer Regional Australia","Western Australia - Outback (South)","Greater Geraldton","Local Road","No","No","6813695290433098919"
"QLD","1","2021","Tuesday","17:00:00","Multiple","No","No","No","70","Pedestrian","Male","37","Major Cities of Australia","Brisbane - East","Redland","Sub-arterial Road","No","No","320210166171"
"SA","6","2021","Tuesday","23:20:00","Multiple","No","No","No","110","Pedestrian","Female","44","Major Cities of Australia","Adelaide - North","Light","National or State Highway","No","No","520212100131644"
"VIC","11","2022","Thursday","12:20:00","Single","No","No","No","100","Driver","Male","31","Outer Regional Australia","North West","Gannawarra","National or State Highway","No","No","1874836992361133272"
"QLD","5","2024","Thursday","10:00:00","Single","No","No","No","60","Driver","Female","84","Major Cities of Australia","Moreton Bay - North","Moreton Bay","Local Road","No","No","7657724248357498465"
"NSW","10","2022","Wednesday","16:30:00","Multiple","No","No","No","60","Motorcycle rider","Male","24","Major Cities of Australia","Newcastle and Lake Macquarie","Lake Macquarie","Arterial Road","No","No","120221302777"
"QLD","5","2019","Sunday","00:00:00","Multiple","No","No","No","60","Driver","Male","23","Major Cities of Australia","Brisbane Inner City","Brisbane","National or State Highway","No","No","320190968900"
"TAS","12","2014","Thursday","00:30:00","Single","No","No","No","60","Driver","Female","19","Inner Regional Australia","Launceston and North East","Meander Valley","Local Road","Yes","No","6201412250031"
"SA","1","2026","Thursday","14:56:00","Multiple","No","Yes","No","60","Motorcycle rider","Male","24","Major Cities of Australia","Adelaide - South","Onkaparinga","National or State Highway","No","No","3753488952434140857"
"NT","9","2024","Sunday","07:23:00","Single","No","No","No","80","Driver","Male","26","Outer Regional Australia","Darwin","Litchfield","Sub-arterial Road","No","No","7154960153229517275"
"VIC","6","2015","Saturday","11:30:00","Multiple","No","Yes","No","100","Passenger","Female","71","Outer Regional Australia","Latrobe - Gippsland","East Gippsland","Arterial Road","No","No","2201506060100"
"NSW","1","2025","Tuesday","07:25:00","Multiple","No","No","No","50","Motorcycle rider","Male","52","Outer Regional Australia","New England and North West","Gunnedah","National or State Highway","No","No","2057108077322399928"
"QLD","3","2023","Thursday","07:00:00","Multiple","No","No","No","80","Motorcycle rider","Male","69","Outer Regional Australia","Cairns","Cairns","National or State Highway","No","No","9146245501648754905"
"SA","12","2016","Friday","12:10:00","Single","No","No","No","110","Driver","Male","35","Very Remote Australia","South Australia - Outback","Ceduna","National or State Highway","Yes","No","4201612300076"
"VIC","11","2017","Sunday","14:30:00","Multiple","No","No","No","80","Passenger","Female","79","Inner Regional Australia","Melbourne - Outer East","Yarra Ranges","National or State Highway","No","No","8622794561475884311"
"QLD","5","2020","Sunday","11:00:00","Multiple","No","No","Yes","80","Driver","Female","78","Inner Regional Australia","Darling Downs - Maranoa","Toowoomba","National or State Highway","No","No","320200911774"
"NSW","8","2021","Tuesday","06:00:00","Multiple","No","Yes","Yes","110","Driver","Male","48","Inner Regional Australia","Sydney - Outer South West","Wollondilly","National or State Highway","No","No","120211270954"
"VIC","4","2026","Saturday","09:40:00","Multiple","No","No","No","100","Motorcycle rider","Male","67","Major Cities of Australia","Melbourne - West","Melton","National or State Highway","No","No","7833981252421644343"
"NSW","8","2022","Sunday","15:50:00","Multiple","No","Yes","No","80","Motorcycle rider","Male","62","Inner Regional Australia","Sydney - Outer West and Blue Mountains","Blue Mountains","Pedestrian Thoroughfare","No","No","120221299035"
"VIC","1","2020","Friday","15:10:00","Multiple","No","No","No","50","Driver","Male","86","Major Cities of Australia","Geelong","Greater Geelong","Local Road","Yes","No","6360507916190861315"
"NSW","11","2025","Sunday","19:50:00","Single","No","No","No","60","Pedestrian","Male","23","Major Cities of Australia","Sydney - Outer West and Blue Mountains","Hawkesbury","Local Road","No","No","5721157132233733187"
"TAS","6","2019","Friday","23:00:00","Single","No","No","No","100","Driver","Male","62","Outer Regional Australia","West and North West","Waratah-Wynyard","Sub-arterial Road","No","No","620192205"
"QLD","4","2023","Sunday","22:00:00","Single","No","No","No","100","Passenger","Male","58","Outer Regional Australia","Darling Downs - Maranoa","Western Downs","National or State Highway","No","No","4753644368722916145"
"NSW","7","2024","Sunday","13:00:00","Single","No","No","No","100","Passenger","Female","18","Inner Regional Australia","Capital Region","Goulburn Mulwaree","Arterial Road","No","No","938334882785744898"
"NT","8","2016","Saturday","19:30:00","Single","No","No","No","110","Passenger","Female","44","Very Remote Australia","Northern Territory - Outback","MacDonnell","Sub-arterial Road","No","No","72016149595"
"NSW","4","2020","Thursday","12:50:00","Multiple","No","Yes","No","60","Pedal cyclist","Male","30","Major Cities of Australia","Sydney - City and Inner South","Inner West","National or State Highway","No","No","120201228241"
"VIC","8","2018","Saturday","13:25:00","Multiple","No","No","No","100","Driver","Male","53","Outer Regional Australia","North West","Mildura","Local Road","No","No","6951582576185894081"
"NSW","1","2016","Tuesday","10:30:00","Multiple","No","No","No","50","Passenger","Male","20","Major Cities of Australia","Newcastle and Lake Macquarie","Newcastle","Collector Road","No","No","120161089224"
"NSW","11","2022","Friday","05:15:00","Multiple","No","No","No","50","Pedestrian","Female","69","Major Cities of Australia","Sydney - Blacktown","Blacktown","Local Road","No","No","120221304338"
"NSW","4","2019","Tuesday","12:00:00","Single","No","No","No","80","Motorcycle rider","Male","46","Major Cities of Australia","Newcastle and Lake Macquarie","Lake Macquarie","Arterial Road","No","No","120191199117"
"VIC","1","2025","Tuesday","15:37:00","Multiple","No","No","No","80","Passenger","Female","46","Outer Regional Australia","Warrnambool and South West","Corangamite","Arterial Road","No","No","1768208016068196554"
"VIC","8","2018","Wednesday","18:20:00","Single","No","No","No","70","Pedestrian","Male","26","Major Cities of Australia","Melbourne - West","Brimbank","Arterial Road","No","No","4056729384844781796"
"SA","8","2017","Tuesday","10:50:00","Single","No","No","No","110","Motorcycle rider","Male","59","Outer Regional Australia","South Australia - South East","Wattle Range","Collector Road","No","No","520171700099952"
"NSW","10","2017","Thursday","02:10:00","Single","No","No","No","80","Passenger","Male","21","Major Cities of Australia","Sydney - Blacktown","Blacktown","National or State Highway","No","No","120171152042"
"NSW","4","2018","Friday","16:45:00","Multiple","No","No","No","80","Driver","Female","19","Inner Regional Australia","Sydney - Baulkham Hills and Hawkesbury","The Hills Shire","Arterial Road","No","No","120181168121"
"WA","10","2021","Thursday","07:08:00","Single","No","No","No","110","Driver","Male","80","Remote Australia","Western Australia - Outback (South)","Perenjori","Local Road","No","No","4202114764"
"SA","8","2017","Sunday","06:30:00","Multiple","No","No","No","80","Driver","Female","40","Major Cities of Australia","Adelaide - North","Salisbury","Arterial Road","No","No","520171700095921"
"QLD","5","2017","Friday","19:00:00","Single","No","No","No","60","Pedestrian","Female","19","Major Cities of Australia","Brisbane - West","Brisbane","Collector Road","No","No","320170870609"
"NSW","9","2020","Wednesday","05:45:00","Multiple","No","No","No","70","Motorcycle rider","Male","45","Major Cities of Australia","Sydney - Parramatta","Cumberland","National or State Highway","No","No","120201241317"
"NSW","10","2019","Monday","22:16:00","Single","No","No","No","110","Driver","Male","29","Inner Regional Australia","Mid North Coast","Mid-Coast","National or State Highway","No","No","120191213269"
"SA","10","2014","Thursday","06:15:00","Multiple","No","Yes","No","100","Driver","Male","38","Inner Regional Australia","South Australia - South East","Alexandrina","Arterial Road","No","No","4201410090066"
"NSW","4","2017","Saturday","18:15:00","Multiple","No","No","No","60","Pedal cyclist","Male","50","Major Cities of Australia","Sydney - City and Inner South","Bayside (NSW)","Local Road","No","No","120171134499"
"VIC","10","2015","Thursday","22:58:00","Single","No","No","No","60","Pedestrian","Male","36","Major Cities of Australia","Melbourne - Outer East","Knox","Arterial Road","No","No","2201510150183"
"NSW","1","2022","Monday","09:20:00","Multiple","No","No","No","100","Driver","Female","22","Outer Regional Australia","Capital Region","Hilltops","Sub-arterial Road","No","No","120221281418"
"WA","1","2022","Tuesday","07:06:00","Single","No","No","No","110","Driver","Male","67","Remote Australia","Western Australia - Wheat Belt","Kondinin","National or State Highway","No","No","7746533254777889053"
"QLD","12","2022","Thursday","15:00:00","Multiple","No","No","No","70","Motorcycle rider","Male","34","Major Cities of Australia","Logan - Beaudesert","Logan","Local Road","No","No","8707404586851294092"
"NSW","10","2015","Saturday","14:10:00","Multiple","No","No","No","80","Motorcycle rider","Female","46","Inner Regional Australia","Mid North Coast","Nambucca Valley","Arterial Road","No","No","120151082339"
"NSW","3","2022","Sunday","23:46:00","Multiple","No","No","No","70","Passenger","Male","34","Major Cities of Australia","Sydney - Parramatta","Cumberland","National or State Highway","No","No","120221292267"
"NSW","4","2025","Friday","06:15:00","Multiple","No","No","Yes","100","Driver","Male","21","Outer Regional Australia","Riverina","Griffith","Arterial Road","No","No","2283836050194510898"
"NSW","7","2024","Wednesday","09:30:00","Single","No","No","No","100","Driver","Female","72","Outer Regional Australia","New England and North West","Tenterfield","Sub-arterial Road","No","No","869771114510350656"
"SA","8","2015","Sunday","09:15:00","Single","No","No","No","50","Pedestrian","Male","75","Major Cities of Australia","Adelaide - West","Charles Sturt","Collector Road","No","No","4201508160051"
"NT","9","2023","Friday","16:53:00","Multiple","No","No","Yes","130","Unknown","Female","9","Remote Australia","Northern Territory - Outback","Victoria Daly","National or State Highway","No","No","5960485739176667467"
"NSW","12","2018","Sunday","16:20:00","Single","No","No","No","100","Passenger","Male","3","Outer Regional Australia","New England and North West","Tamworth Regional","National or State Highway","No","No","120181188009"
"QLD","10","2019","Thursday","11:00:00","Single","No","No","No","100","Driver","Male","25","Remote Australia","Central Queensland","Livingstone","Sub-arterial Road","No","No","320192156716"
"TAS","2","2020","Sunday","18:18:00","Single","No","No","No","100","Motorcycle rider","Male","49","Outer Regional Australia","West and North West","Central Coast (Tas.)","Sub-arterial Road","No","No","620202229"
"NSW","8","2017","Tuesday","11:50:00","Single","No","No","No","50","Passenger","Female","90","Inner Regional Australia","Mid North Coast","Port Macquarie-Hastings","Local Road","No","No","120171146171"
"VIC","12","2023","Sunday","12:00:00","Single","No","No","No","80","Pedestrian","Male","2","Major Cities of Australia","Melbourne - South East","Greater Dandenong","National or State Highway","No","No","2684257440966688970"
"NSW","11","2020","Friday","06:00:00","Multiple","No","Yes","No","100","Passenger","Female","33","Outer Regional Australia","Central West","Bland","National or State Highway","No","No","120201246866"
"TAS","4","2024","Monday","07:22:00","Multiple","No","Yes","No","110","Driver","Male","61","Outer Regional Australia","Launceston and North East","Meander Valley","National or State Highway","No","Yes","5835520613063757590"
"QLD","1","2017","Tuesday","16:00:00","Multiple","No","No","No","100","Driver","Male","74","Outer Regional Australia","Mackay - Isaac - Whitsunday","Whitsunday","Sub-arterial Road","Yes","No","320170017767"
"WA","1","2019","Tuesday","10:29:00","Single","No","No","No","80","Motorcycle rider","Male","24","Inner Regional Australia","Perth - South East","Serpentine-Jarrahdale","Arterial Road","No","No","4201913862"
"QLD","8","2022","Friday","07:00:00","Single","No","No","No","100","Driver","Male","82","Outer Regional Australia","Central Queensland","Gladstone","Sub-arterial Road","No","No","2343831224835957856"
"NSW","10","2021","Tuesday","10:30:00","Single","No","Yes","No","50","Pedestrian","Female","43","Major Cities of Australia","Sydney - Inner West","Inner West","Local Road","No","No","120211274218"
"VIC","11","2023","Saturday","14:25:00","Multiple","No","No","Yes","110","Pedestrian","Male","22","Inner Regional Australia","Hume","Wangaratta","National or State Highway","No","No","6882556264923886309"
"WA","10","2025","Wednesday","11:46:00","Multiple","No","No","No","70","Driver","Male","58","Major Cities of Australia","Perth - South East","Serpentine-Jarrahdale","Arterial Road","No","No","2974328207884429198"
"NSW","7","2025","Tuesday","05:30:00","Multiple","No","No","No","80","Driver","Female","55","Inner Regional Australia","New England and North West","Tamworth Regional","Sub-arterial Road","No","No","9001820852688838349"
"VIC","3","2023","Thursday","08:50:00","Single","No","No","No","60","Passenger","Female","3","Outer Regional Australia","North West","Northern Grampians","Arterial Road","No","No","3561673849832307985"
"NSW","1","2020","Tuesday","15:45:00","Multiple","No","Yes","No","100","Driver","Male","46","Outer Regional Australia","Capital Region","Eurobodalla","National or State Highway","No","No","120201222636"
"NSW","8","2019","Saturday","10:00:00","Single","No","No","No","60","Driver","Male","42","Major Cities of Australia","Sydney - Inner South West","Canterbury-Bankstown","Collector Road","No","No","120191210905"
"SA","2","2024","Friday","19:30:00","Single","No","No","No","100","Motorcycle rider","Male","18","Outer Regional Australia","South Australia - South East","Wattle Range","Local Road","No","No","4790606333118586560"
"WA","1","2022","Saturday","13:49:00","Single","No","No","No","110","Passenger","Male","20","Outer Regional Australia","Western Australia - Wheat Belt","Dandaragan","National or State Highway","No","No","7455882573075234109"
"WA","4","2022","Saturday","15:09:00","Single","No","Yes","No","80","Passenger","Female","74","Inner Regional Australia","Bunbury","Harvey","National or State Highway","No","No","8276015506705352578"
"QLD","12","2025","Friday","10:00:00","Single","No","No","No","110","Driver","Male","70","Very Remote Australia","Queensland - Outback","Paroo","National or State Highway","No","No","6801261208671830410"
"VIC","4","2017","Wednesday","17:15:00","Single","No","No","No","100","Driver","Male","69","Inner Regional Australia","Hume","Wangaratta","Arterial Road","No","No","5547038526282457416"
"VIC","6","2022","Thursday","03:54:00","Single","No","No","No","80","Driver","Male","28","Major Cities of Australia","Melbourne - North East","Whittlesea","Arterial Road","No","No","1271169255188278994"
"QLD","6","2019","Thursday","19:00:00","Multiple","No","No","No","100","Driver","Male","23","Very Remote Australia","Townsville","Charters Towers","National or State Highway","No","No","320191097654"
"SA","3","2016","Saturday","06:10:00","Multiple","No","No","No","90","Passenger","Male","41","Major Cities of Australia","Adelaide - North","Salisbury","National or State Highway","No","No","4201603120012"
"WA","1","2024","Friday","05:50:00","Single","No","No","No","70","Pedal cyclist","Male","51","Outer Regional Australia","Western Australia - Wheat Belt","Gingin","Arterial Road","No","No","6899680189069912727"
"NSW","6","2018","Sunday","20:10:00","Single","No","No","No","100","Driver","Male","47","Inner Regional Australia","New England and North West","Uralla","Access road","No","No","120181172648"
"WA","4","2015","Friday","09:30:00","Single","No","No","No","110","Passenger","Male","33","Remote Australia","Western Australia - Outback (South)","Northampton","National or State Highway","No","Yes","5201504030043"
"NSW","6","2024","Monday","17:20:00","Multiple","No","Yes","Yes","110","Driver","Male","19","Outer Regional Australia","Far West and Orana","Narromine","National or State Highway","No","No","4575701058389068848"
"NSW","5","2016","Monday","04:30:00","Multiple","No","Yes","No","80","Passenger","Female","67","Major Cities of Australia","Sydney - Sutherland","Sutherland Shire","Arterial Road","No","No","120161101614"
"VIC","12","2017","Friday","07:55:00","Multiple","No","No","No","100","Driver","Female","22","Inner Regional Australia","Warrnambool and South West","Corangamite","Arterial Road","No","No","3218725447687954325"
"NSW","10","2023","Friday","18:00:00","Multiple","No","No","No","70","Motorcycle rider","Male","55","Major Cities of Australia","Sydney - Sutherland","Sutherland Shire","Local Road","No","No","8707013861522459635"
"VIC","7","2018","Friday","14:30:00","Multiple","No","No","No","100","Driver","Female","55","Inner Regional Australia","Hume","Strathbogie","Arterial Road","No","No","7674389214346424541"
"QLD","11","2019","Saturday","20:00:00","Multiple","No","No","No","100","Driver","Male","20","Outer Regional Australia","Townsville","Townsville","National or State Highway","No","No","320192382212"
"NSW","11","2019","Saturday","20:25:00","Multiple","No","No","No","60","Motorcycle rider","Male","21","Major Cities of Australia","Sydney - Blacktown","Blacktown","Arterial Road","No","No","120191216259"
"NSW","4","2020","Saturday","15:10:00","Multiple","No","No","No","50","Pedestrian","Male","62","Major Cities of Australia","Illawarra","Wollongong","Collector Road","No","No","120201229237"
"SA","9","2014","Sunday","17:30:00","Single","No","No","No","100","Passenger","Male","79","Very Remote Australia","South Australia - Outback","Anangu Pitjantjatjara Yunkunytjatjara","Local Road","No","No","4201409070054"
"WA","6","2016","Tuesday","08:07:00","Single","No","No","No","110","Driver","Male","19","Inner Regional Australia","Bunbury","Busselton","Local Road","No","No","5201606140075"
"QLD","3","2025","Saturday","09:00:00","Multiple","No","No","No","60","Motorcycle rider","Male","74","Outer Regional Australia","Wide Bay","North Burnett","Sub-arterial Road","No","No","7334369373752908803"
"QLD","10","2022","Sunday","03:00:00","Single","No","No","No","60","Pedal cyclist","Male","55","Outer Regional Australia","Cairns","Douglas","Local Road","No","No","2605651805597028916"
"QLD","6","2023","Sunday","11:00:00","Multiple","No","No","No","60","Driver","Male","79","Major Cities of Australia","Ipswich","Ipswich","Collector Road","No","No","4891669877304788522"
"TAS","3","2020","Tuesday","20:25:00","Multiple","No","No","Yes","100","Driver","Male","54","Outer Regional Australia","West and North West","Circular Head","National or State Highway","No","No","620202233"
"NSW","7","2016","Sunday","21:15:00","Single","No","No","No","50","Passenger","Male","17","Major Cities of Australia","Central Coast","Central Coast (NSW)","Collector Road","No","No","120161107346"
"QLD","1","2020","Wednesday","12:00:00","Single","No","Yes","No","100","Driver","Male","39","Outer Regional Australia","Mackay - Isaac - Whitsunday","Isaac","National or State Highway","No","No","320200056030"
"QLD","8","2023","Thursday","20:00:00","Multiple","No","No","Yes","60","Driver","Male","74","Outer Regional Australia","Mackay - Isaac - Whitsunday","Whitsunday","National or State Highway","No","No","5409501309200677807"
"SA","3","2016","Tuesday","10:30:00","Multiple","No","No","Yes","100","Pedal cyclist","Male","61","Outer Regional Australia","Barossa - Yorke - Mid North","Port Pirie","Arterial Road","No","No","4201603150014"
"WA","8","2015","Saturday","06:51:00","Multiple","No","No","No","70","Passenger","Male","17","Major Cities of Australia","Perth - South East","Gosnells","Arterial Road","No","No","5201508010077"
"QLD","9","2022","Friday","23:00:00","Single","No","No","No","50","Passenger","Male","49","Remote Australia","Queensland - Outback","Cook","Local Road","No","No","8462906466592841530"
"VIC","11","2017","Saturday","22:20:00","Single","No","No","No","100","Driver","Male","66","Inner Regional Australia","Latrobe - Gippsland","South Gippsland","Sub-arterial Road","No","No","4852532975257370546"
"NT","9","2023","Friday","16:53:00","Multiple","No","No","Yes","130","Passenger","Female","34","Remote Australia","Northern Territory - Outback","Victoria Daly","National or State Highway","No","No","5960485739176667467"
"NSW","6","2021","Friday","12:05:00","Single","No","No","No","70","Pedestrian","Male","89","Major Cities of Australia","Sydney - Northern Beaches","Northern Beaches","Arterial Road","No","No","120211268388"
"NSW","3","2021","Sunday","18:40:00","Single","No","No","No","50","Driver","Male","23","Major Cities of Australia","Sydney - Inner South West","Canterbury-Bankstown","Local Road","No","No","120211258007"
"WA","11","2024","Monday","10:56:00","Single","No","No","No","110","Driver","Male","76","Outer Regional Australia","Western Australia - Wheat Belt","Dandaragan","Local Road","No","No","72843174701878108"
"VIC","1","2019","Thursday","14:40:00","Single","No","No","No","100","Motorcycle rider","Male","57","Inner Regional Australia","Shepparton","Campaspe","National or State Highway","No","No","8671436494598337898"
"NSW","3","2024","Friday","05:00:00","Single","No","No","No","60","Driver","Male","56","Inner Regional Australia","Richmond - Tweed","Richmond Valley","Local Road","No","No","8829833312481988274"
"NSW","2","2024","Tuesday","10:45:00","Multiple","No","Yes","Yes","100","Driver","Male","29","Inner Regional Australia","Central Coast","Central Coast (NSW)","Arterial Road","No","No","2255560743413836552"
"VIC","3","2017","Friday","16:20:00","Multiple","No","No","No","100","Pedal cyclist","Male","66","Inner Regional Australia","Hume","Benalla","Arterial Road","No","No","3620366080955642640"
"SA","7","2021","Wednesday","15:40:00","Single","No","No","No","110","Driver","Male","40","Outer Regional Australia","Barossa - Yorke - Mid North","Mount Remarkable","National or State Highway","No","No","520212100162759"
"WA","4","2015","Monday","23:30:00","Multiple","No","No","No","110","Passenger","Female","22","Inner Regional Australia","Bunbury","Augusta Margaret River","National or State Highway","No","Yes","5201504060044"
"NSW","6","2025","Wednesday","07:45:00","Multiple","No","No","No","50","Passenger","Male","78","Inner Regional Australia","Richmond - Tweed","Richmond Valley","Local Road","No","No","1697490355359854208"
"WA","8","2017","Tuesday","07:10:00","Multiple","No","Yes","No","70","Driver","Male","54","Major Cities of Australia","Perth - South East","Canning","Local Road","No","No","5201708010083"
"SA","2","2022","Sunday","13:00:00","Single","No","No","No","100","Driver","Female","23","Inner Regional Australia","Adelaide - North","Light","Sub-arterial Road","No","No","520222200045834"
"NSW","10","2021","Sunday","02:10:00","Multiple","No","Yes","No","110","Driver","Male","23","Inner Regional Australia","Capital Region","Upper Lachlan Shire","National or State Highway","No","No","120211275588"
"VIC","3","2024","Tuesday","05:46:00","Single","No","No","No","100","Driver","Male","21","Inner Regional Australia","Shepparton","Campaspe","Arterial Road","No","No","557215864169650171"
"QLD","2","2025","Friday","10:00:00","Single","No","No","No","100","Motorcycle rider","Female","45","Outer Regional Australia","Darling Downs - Maranoa","Goondiwindi","National or State Highway","No","No","1810041187592648985"
"VIC","12","2018","Wednesday","19:36:00","Single","Yes","No","No","80","Pedestrian","Male","39","Major Cities of Australia","Melbourne - Outer East","Knox","National or State Highway","No","No","5764696980335277566"
"QLD","7","2018","Sunday","10:00:00","Multiple","No","No","No","70","Motorcycle rider","Male","32","Major Cities of Australia","Moreton Bay - South","Moreton Bay","Collector Road","No","No","320181337161"
"NSW","1","2021","Friday","04:00:00","Multiple","No","No","No","50","Motorcycle pillion passenger","Female","27","Major Cities of Australia","Sydney - Inner South West","Georges River","Local Road","No","No","120211253589"
"VIC","9","2025","Wednesday","16:14:00","Multiple","No","No","No","70","Driver","Female","51","Major Cities of Australia","Melbourne - South East","Casey","Local Road","No","No","6462611532217937561"
"VIC","1","2020","Monday","11:15:00","Multiple","No","No","No","60","Motorcycle rider","Male","38","Major Cities of Australia","Mornington Peninsula","Frankston","Local Road","No","No","6261808126057301606"
"QLD","3","2022","Monday","09:00:00","Multiple","No","No","No","100","Driver","Male","82","Outer Regional Australia","Cairns","Tablelands","Sub-arterial Road","No","No","7406857413977999518"
"SA","1","2015","Friday","15:55:00","Single","No","No","No","40","Driver","Male","74","Major Cities of Australia","Adelaide - Central and Hills","Unley","Sub-arterial Road","No","No","4201501090002"
"QLD","4","2019","Saturday","23:00:00","Single","No","No","No","100","Pedestrian","Male","23","Inner Regional Australia","Wide Bay","Bundaberg","National or State Highway","No","Yes","320190781665"
"NSW","3","2016","Tuesday","22:30:00","Multiple","No","No","Yes","80","Driver","Male","19","Inner Regional Australia","Coffs Harbour - Grafton","Clarence Valley","National or State Highway","No","No","120161095777"
"QLD","7","2017","Thursday","06:00:00","Single","No","No","No","60","Motorcycle rider","Male","51","Inner Regional Australia","Gold Coast","Gold Coast","Sub-arterial Road","No","No","320171254576"
"WA","1","2017","Wednesday","05:15:00","Single","No","No","No","110","Driver","Male","24","Major Cities of Australia","Perth - North West","Wanneroo","Local Road","No","No","5201701180009"
"NSW","5","2018","Wednesday","23:20:00","Single","No","No","No","60","Driver","Male","19","Major Cities of Australia","Illawarra","Wollongong","National or State Highway","No","No","120181169980"
"WA","2","2021","Wednesday","14:44:00","Single","No","No","No","110","Passenger","Male","9","Outer Regional Australia","Western Australia - Wheat Belt","Wickepin","Arterial Road","No","No","4202114525"
"VIC","1","2015","Wednesday","06:35:00","Single","No","No","No","100","Driver","Male","20","Inner Regional Australia","Hume","Mitchell","National or State Highway","No","No","2201501280018"
"WA","4","2019","Sunday","01:18:00","Single","No","No","No","100","Passenger","Female","48","Major Cities of Australia","Perth - North East","Swan","National or State Highway","No","No","4201913931"
"NSW","7","2015","Thursday","04:45:00","Single","No","No","No","50","Motorcycle rider","Male","30","Inner Regional Australia","Sydney - Baulkham Hills and Hawkesbury","The Hills Shire","Sub-arterial Road","No","No","120151073787"
"WA","5","2022","Sunday","99:99:99","Multiple","No","No","No","50","Driver","Male","88","Inner Regional Australia","Western Australia - Wheat Belt","York","Local Road","No","No","1882810755031434372"
"WA","8","2019","Sunday","16:50:00","Multiple","No","No","No","50","Passenger","Male","81","Major Cities of Australia","Perth - Inner","Nedlands","Local Road","No","No","4201914045"
"QLD","4","2026","Tuesday","07:00:00","Single","No","No","No","50","Pedestrian","Female","62","Inner Regional Australia","Wide Bay","Gympie","Local Road","No","No","5140353511898297536"
"NSW","2","2020","Saturday","19:50:00","Multiple","No","No","No","50","Pedestrian","Male","13","Major Cities of Australia","Sydney - Parramatta","Parramatta","Collector Road","No","No","120201223161"
"WA","8","2016","Saturday","11:55:00","Multiple","No","No","No","70","Driver","Female","20","Major Cities of Australia","Perth - North West","Wanneroo","Local Road","No","No","5201608200107"
"VIC","7","2019","Monday","00:18:00","Multiple","No","No","No","60","Pedal cyclist","Male","28","Major Cities of Australia","Melbourne - West","Melton","Local Road","No","No","6616441376870814992"
"VIC","8","2019","Friday","23:49:00","Single","No","No","No","60","Motorcycle rider","Male","47","Major Cities of Australia","Melbourne - Inner","Darebin","Arterial Road","No","No","885010264774570589"
"VIC","5","2025","Saturday","14:30:00","Single","No","No","No","80","Pedestrian","Female","86","Major Cities of Australia","Melbourne - South East","Greater Dandenong","National or State Highway","No","No","2459991932673360107"
