"State","Month","Year","Dayweek","Time","Crash_Type","Bus_Involvement","Heavy_Rigid_Truck_Involvement","Articulated_Truck_Involvement","Speed_Limit","Road_User","Gender","Age","National_Remoteness_Areas_2021","SA4_Name_2021","National_LGA_Name_2021","National_Road_Type","Christmas_Period","Easter_Period","Crash_ID"
"VIC","3","2018","Saturday","01:15:00","Single","No","No","No","100","Driver","Male","66","Inner Regional Australia","Melbourne - Outer East","Yarra Ranges","Arterial Road","No","No","6289642939816953722"
"QLD","11","2024","Friday","13:00:00","Single","No","No","Yes","100","Driver","Male","52","Outer Regional Australia","Mackay - Isaac - Whitsunday","Whitsunday","Local Road","No","No","9028344948707003679"
"WA","1","2018","Friday","06:26:00","Single","No","No","No","110","Passenger","Female","20","Inner Regional Australia","Bunbury","Harvey","National or State Highway","No","No","4201813569"
"WA","9","2021","Friday","22:44:00","Single","No","No","No","80","Motorcycle rider","Male","49","Major Cities of Australia","Perth - Inner","Vincent","National or State Highway","No","No","4202114742"
"NSW","7","2017","Thursday","04:00:00","Single","No","Yes","No","80","Passenger","Male","20","Outer Regional Australia","Mid North Coast","Mid-Coast","Sub-arterial Road","No","No","120171142786"
"NSW","10","2017","Monday","10:00:00","Multiple","No","No","No","50","Driver","Male","53","Inner Regional Australia","Riverina","Wagga Wagga","Local Road","No","No","120171152034"
"NSW","7","2025","Thursday","15:10:00","Multiple","No","No","Yes","110","Driver","Male","48","Outer Regional Australia","Central West","Forbes","National or State Highway","No","No","8439131804609246728"
"WA","12","2021","Saturday","11:02:00","Single","No","No","No","110","Driver","Male","47","Outer Regional Australia","Western Australia - Wheat Belt","Plantagenet","National or State Highway","Yes","No","4202114817"
"WA","5","2020","Wednesday","16:10:00","Multiple","No","No","No","70","Driver","Male","88","Major Cities of Australia","Perth - North West","Joondalup","Arterial Road","No","No","4202014278"
"QLD","8","2022","Sunday","13:00:00","Multiple","No","No","No","100","Motorcycle rider","Male","72","Inner Regional Australia","Wide Bay","Gympie","National or State Highway","No","No","1902621019421486063"
"NSW","2","2024","Saturday","18:45:00","Multiple","No","No","No","100","Passenger","Female","27","Inner Regional Australia","New England and North West","Armidale Regional","National or State Highway","No","No","3655368885359331875"
"NSW","6","2019","Sunday","00:45:00","Multiple","No","No","No","100","Pedal cyclist","Male","22","Inner Regional Australia","Richmond - Tweed","Byron","Local Road","No","No","120191204060"
"VIC","11","2023","Thursday","11:20:00","Multiple","No","No","Yes","100","Driver","Male","57","Outer Regional Australia","North West","Yarriambiack","Sub-arterial Road","No","No","3604185587861158886"
"WA","11","2018","Tuesday","08:37:00","Multiple","No","No","No","80","Pedal cyclist","Male","68","Inner Regional Australia","Bunbury","Dardanup","National or State Highway","No","No","4201813800"
"NSW","6","2017","Thursday","12:55:00","Multiple","No","No","Yes","110","Driver","Male","66","Outer Regional Australia","Murray","Edward River","National or State Highway","No","No","120171138638"
"VIC","1","2021","Friday","15:53:00","Single","No","No","No","100","Driver","Male","75","Inner Regional Australia","Mornington Peninsula","Mornington Peninsula","Arterial Road","No","No","126272827518427454"
"NSW","5","2015","Sunday","03:25:00","Single","No","No","No","80","Pedestrian","Male","25","Inner Regional Australia","Richmond - Tweed","Ballina","Sub-arterial Road","No","No","120151067466"
"QLD","2","2019","Thursday","06:00:00","Multiple","No","No","No","60","Motorcycle rider","Male","44","Inner Regional Australia","Central Queensland","Gladstone","National or State Highway","No","No","320190313365"
"VIC","2","2019","Wednesday","14:15:00","Single","No","No","No","100","Driver","Male","87","Inner Regional Australia","Melbourne - North West","Macedon Ranges","Collector Road","No","No","1927481922898286459"
"WA","9","2021","Thursday","13:16:00","Single","No","No","No","70","Driver","Male","49","Major Cities of Australia","Perth - North East","Swan","Arterial Road","No","No","4202114739"
"NSW","6","2016","Saturday","21:00:00","Single","No","No","No","60","Passenger","Male","41","Inner Regional Australia","Mid North Coast","Port Macquarie-Hastings","Local Road","No","No","120161105208"
"VIC","5","2015","Wednesday","14:00:00","Multiple","No","No","No","100","Driver","Male","73","Inner Regional Australia","Hume","Murrindindi","Arterial Road","No","No","2201505130086"
