"vehicle_type","state_abb","year_of_manufacture","no_vehicles"
"Heavy rigid trucks","Tas","1980",70
"Heavy rigid trucks","Tas","1981",61
"Heavy rigid trucks","Tas","1982",75
"Heavy rigid trucks","Tas","1983",76
"Heavy rigid trucks","Tas","1984",156
"Heavy rigid trucks","Tas","1985",240
"Heavy rigid trucks","Tas","1986",170
"Heavy rigid trucks","Tas","1987",164
"Heavy rigid trucks","Tas","1988",211
"Heavy rigid trucks","Tas","1989",224
"Heavy rigid trucks","Tas","1990",197
"Heavy rigid trucks","Tas","1991",122
"Heavy rigid trucks","Tas","1992",130
"Heavy rigid trucks","Tas","1993",128
"Heavy rigid trucks","Tas","1994",206
"Heavy rigid trucks","Tas","1995",193
"Heavy rigid trucks","Tas","1996",162
"Heavy rigid trucks","Tas","1997",173
"Heavy rigid trucks","Tas","1998",205
"Heavy rigid trucks","Tas","1999",204
"Heavy rigid trucks","Tas","2000",202
"Heavy rigid trucks","Tas","2001",186
"Heavy rigid trucks","Tas","2002",282
"Heavy rigid trucks","Tas","2003",262
"Heavy rigid trucks","Tas","2004",354
"Heavy rigid trucks","Tas","2005",356
