"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"QLD","Unknown","17-25","speed_fines","Mobile camera",5118,0,0
2024,"QLD","Unknown","17-25","speed_fines","Police issued",1991,0,0
2024,"QLD","Unknown","17-25","unlicensed_driving","Not applicable",622,0,0
2024,"QLD","Unknown","26-39","mobile_phone_use","Fixed camera",2545,0,0
2024,"QLD","Unknown","26-39","mobile_phone_use","Police issued",105,0,0
2024,"QLD","Unknown","26-39","non_wearing_seatbelts","Fixed camera",1150,0,0
2024,"QLD","Unknown","26-39","non_wearing_seatbelts","Police issued",116,0,0
2024,"QLD","Unknown","26-39","speed_fines","Fixed camera",6221,0,0
2024,"QLD","Unknown","26-39","speed_fines","Mobile camera",10612,0,0
2024,"QLD","Unknown","26-39","speed_fines","Police issued",2825,0,0
2024,"QLD","Unknown","26-39","unlicensed_driving","Not applicable",1013,0,0
2024,"QLD","Unknown","40-64","mobile_phone_use","Fixed camera",2472,0,0
2024,"QLD","Unknown","40-64","mobile_phone_use","Police issued",53,0,0
2024,"QLD","Unknown","40-64","non_wearing_seatbelts","Fixed camera",1157,0,0
2024,"QLD","Unknown","40-64","non_wearing_seatbelts","Police issued",93,0,0
2024,"QLD","Unknown","40-64","speed_fines","Fixed camera",9251,0,0
2024,"QLD","Unknown","40-64","speed_fines","Mobile camera",15185,0,0
2024,"QLD","Unknown","40-64","speed_fines","Police issued",3245,0,0
2024,"QLD","Unknown","40-64","unlicensed_driving","Not applicable",578,0,0
2024,"QLD","Unknown","65 and over","mobile_phone_use","Fixed camera",318,0,0
2024,"QLD","Unknown","65 and over","mobile_phone_use","Police issued",7,0,0
2024,"QLD","Unknown","65 and over","non_wearing_seatbelts","Fixed camera",247,0,0
2024,"QLD","Unknown","65 and over","non_wearing_seatbelts","Police issued",14,0,0
2024,"QLD","Unknown","65 and over","speed_fines","Fixed camera",2350,0,0
2024,"QLD","Unknown","65 and over","speed_fines","Mobile camera",3861,0,0
2024,"QLD","Unknown","65 and over","speed_fines","Police issued",636,0,0
2024,"QLD","Unknown","65 and over","unlicensed_driving","Not applicable",30,0,0
2024,"SA","Inner Regional Australia","12-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Inner Regional Australia","17-25","mobile_phone_use","Police issued",1,0,0
2024,"SA","Inner Regional Australia","17-25","non_wearing_seatbelts","Police issued",7,0,0
2024,"SA","Inner Regional Australia","17-25","speed_fines","Fixed camera",47,0,0
2024,"SA","Inner Regional Australia","17-25","speed_fines","Mobile camera",150,0,0
2024,"SA","Inner Regional Australia","17-25","speed_fines","Police issued",165,0,1
2024,"SA","Inner Regional Australia","26-39","mobile_phone_use","Police issued",1,0,0
2024,"SA","Inner Regional Australia","26-39","non_wearing_seatbelts","Police issued",13,0,0
2024,"SA","Inner Regional Australia","26-39","speed_fines","Fixed camera",95,0,0
2024,"SA","Inner Regional Australia","26-39","speed_fines","Mobile camera",408,0,0
2024,"SA","Inner Regional Australia","26-39","speed_fines","Police issued",374,0,6
2024,"SA","Inner Regional Australia","40-64","mobile_phone_use","Police issued",2,0,0
2024,"SA","Inner Regional Australia","40-64","non_wearing_seatbelts","Police issued",21,0,0
2024,"SA","Inner Regional Australia","40-64","speed_fines","Fixed camera",123,0,0
2024,"SA","Inner Regional Australia","40-64","speed_fines","Mobile camera",744,0,0
2024,"SA","Inner Regional Australia","40-64","speed_fines","Police issued",443,0,0
2024,"SA","Inner Regional Australia","65 and over","non_wearing_seatbelts","Police issued",7,0,0
2024,"SA","Inner Regional Australia","65 and over","speed_fines","Fixed camera",46,0,0
2024,"SA","Inner Regional Australia","65 and over","speed_fines","Mobile camera",310,0,0
2024,"SA","Inner Regional Australia","65 and over","speed_fines","Police issued",139,0,0
2024,"SA","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",4,0,0
2024,"SA","Major Cities of Australia","12-16","non_wearing_seatbelts","Police issued",2,0,0
2024,"SA","Major Cities of Australia","12-16","speed_fines","Fixed camera",1,0,0
2024,"SA","Major Cities of Australia","12-16","speed_fines","Mobile camera",1,0,0
2024,"SA","Major Cities of Australia","17-25","mobile_phone_use","Police issued",32,0,0
2024,"SA","Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",30,0,0
2024,"SA","Major Cities of Australia","17-25","speed_fines","Fixed camera",399,0,0
2024,"SA","Major Cities of Australia","17-25","speed_fines","Mobile camera",549,0,0
2024,"SA","Major Cities of Australia","17-25","speed_fines","Police issued",228,3,6
2024,"SA","Major Cities of Australia","26-39","mobile_phone_use","Police issued",55,0,0
2024,"SA","Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",32,0,0
2024,"SA","Major Cities of Australia","26-39","speed_fines","Fixed camera",998,0,0
2024,"SA","Major Cities of Australia","26-39","speed_fines","Mobile camera",1369,0,0
2024,"SA","Major Cities of Australia","26-39","speed_fines","Police issued",333,2,3
2024,"SA","Major Cities of Australia","40-64","mobile_phone_use","Police issued",42,0,0
2024,"SA","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",42,0,0
2024,"SA","Major Cities of Australia","40-64","speed_fines","Fixed camera",2158,0,0
2024,"SA","Major Cities of Australia","40-64","speed_fines","Mobile camera",2301,0,0
2024,"SA","Major Cities of Australia","40-64","speed_fines","Police issued",392,1,2
2024,"SA","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",6,0,0
2024,"SA","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",24,0,0
2024,"SA","Major Cities of Australia","65 and over","speed_fines","Fixed camera",918,0,0
2024,"SA","Major Cities of Australia","65 and over","speed_fines","Mobile camera",721,0,0
2024,"SA","Major Cities of Australia","65 and over","speed_fines","Police issued",95,0,0
2024,"SA","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",12,0,0
2024,"SA","Outer Regional Australia","12-16","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Outer Regional Australia","12-16","speed_fines","Mobile camera",1,0,0
2024,"SA","Outer Regional Australia","17-25","mobile_phone_use","Police issued",1,0,0
2024,"SA","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",12,0,0
2024,"SA","Outer Regional Australia","17-25","speed_fines","Fixed camera",30,0,0
2024,"SA","Outer Regional Australia","17-25","speed_fines","Mobile camera",48,0,0
2024,"SA","Outer Regional Australia","17-25","speed_fines","Police issued",184,1,1
2024,"SA","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",13,0,0
2024,"SA","Outer Regional Australia","26-39","speed_fines","Fixed camera",57,0,0
2024,"SA","Outer Regional Australia","26-39","speed_fines","Mobile camera",161,0,0
2024,"SA","Outer Regional Australia","26-39","speed_fines","Police issued",369,0,1
2024,"SA","Outer Regional Australia","40-64","mobile_phone_use","Police issued",1,0,0
2024,"SA","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",15,0,0
2024,"SA","Outer Regional Australia","40-64","speed_fines","Fixed camera",74,0,0
2024,"SA","Outer Regional Australia","40-64","speed_fines","Mobile camera",282,0,0
2024,"SA","Outer Regional Australia","40-64","speed_fines","Police issued",458,1,2
2024,"SA","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",7,0,0
2024,"SA","Outer Regional Australia","65 and over","speed_fines","Fixed camera",15,0,0
2024,"SA","Outer Regional Australia","65 and over","speed_fines","Mobile camera",128,0,0
2024,"SA","Outer Regional Australia","65 and over","speed_fines","Police issued",110,0,1
2024,"SA","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",4,0,0
2024,"SA","Remote Australia","17-25","non_wearing_seatbelts","Police issued",2,0,0
2024,"SA","Remote Australia","17-25","speed_fines","Mobile camera",7,0,0
2024,"SA","Remote Australia","17-25","speed_fines","Police issued",40,0,1
2024,"SA","Remote Australia","26-39","mobile_phone_use","Police issued",1,0,0
2024,"SA","Remote Australia","26-39","non_wearing_seatbelts","Police issued",4,0,0
2024,"SA","Remote Australia","26-39","speed_fines","Mobile camera",12,0,0
2024,"SA","Remote Australia","26-39","speed_fines","Police issued",70,0,0
2024,"SA","Remote Australia","40-64","non_wearing_seatbelts","Police issued",4,0,0
2024,"SA","Remote Australia","40-64","speed_fines","Mobile camera",31,0,0
2024,"SA","Remote Australia","40-64","speed_fines","Police issued",74,0,1
2024,"SA","Remote Australia","65 and over","non_wearing_seatbelts","Police issued",5,0,0
2024,"SA","Remote Australia","65 and over","speed_fines","Mobile camera",5,0,0
2024,"SA","Remote Australia","65 and over","speed_fines","Police issued",13,0,0
2024,"SA","Remote Australia","65 and over","unlicensed_driving","Not applicable",0,0,0
2024,"SA","Unknown","12-16","unlicensed_driving","Not applicable",0,6,8
2024,"SA","Unknown","17-25","mobile_phone_use","Police issued",1,0,0
2024,"SA","Unknown","17-25","speed_fines","Police issued",16,0,0
2024,"SA","Unknown","17-25","unlicensed_driving","Not applicable",0,26,50
2024,"SA","Unknown","26-39","speed_fines","Police issued",29,0,0
2024,"SA","Unknown","26-39","unlicensed_driving","Not applicable",0,68,155
2024,"SA","Unknown","40-64","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Unknown","40-64","speed_fines","Police issued",45,1,0
2024,"SA","Unknown","40-64","unlicensed_driving","Not applicable",0,28,154
2024,"SA","Unknown","65 and over","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Unknown","65 and over","speed_fines","Police issued",10,0,0
2024,"SA","Unknown","65 and over","unlicensed_driving","Not applicable",0,1,7
2024,"SA","Very Remote Australia","17-25","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Very Remote Australia","17-25","speed_fines","Police issued",19,0,0
2024,"SA","Very Remote Australia","26-39","non_wearing_seatbelts","Police issued",7,0,0
2024,"SA","Very Remote Australia","26-39","speed_fines","Police issued",37,0,0
2024,"SA","Very Remote Australia","40-64","non_wearing_seatbelts","Police issued",5,0,0
2024,"SA","Very Remote Australia","40-64","speed_fines","Police issued",50,0,0
2024,"SA","Very Remote Australia","65 and over","non_wearing_seatbelts","Police issued",1,0,0
2024,"SA","Very Remote Australia","65 and over","speed_fines","Police issued",8,0,0
2024,"TAS","Unknown","12-16","non_wearing_seatbelts","Fixed or mobile camera",1,0,0
2024,"TAS","Unknown","12-16","unlicensed_driving","Not applicable",0,1,4
2024,"TAS","Unknown","17-25","mobile_phone_use","Fixed or mobile camera",10,0,0
2024,"TAS","Unknown","17-25","mobile_phone_use","Police issued",37,0,0
2024,"TAS","Unknown","17-25","non_wearing_seatbelts","Fixed or mobile camera",50,0,0
2024,"TAS","Unknown","17-25","non_wearing_seatbelts","Police issued",18,0,2
2024,"TAS","Unknown","17-25","speed_fines","Fixed or mobile camera",657,0,0
2024,"TAS","Unknown","17-25","speed_fines","Police issued",348,0,12
2024,"TAS","Unknown","17-25","unlicensed_driving","Not applicable",6,0,28
2024,"TAS","Unknown","26-39","mobile_phone_use","Fixed or mobile camera",77,0,0
2024,"TAS","Unknown","26-39","mobile_phone_use","Police issued",44,0,2
2024,"TAS","Unknown","26-39","non_wearing_seatbelts","Fixed or mobile camera",146,0,0
2024,"TAS","Unknown","26-39","non_wearing_seatbelts","Police issued",30,0,3
2024,"TAS","Unknown","26-39","speed_fines","Fixed or mobile camera",1655,0,0
2024,"TAS","Unknown","26-39","speed_fines","Police issued",543,0,12
2024,"TAS","Unknown","26-39","unlicensed_driving","Not applicable",16,0,73
2024,"TAS","Unknown","40-64","mobile_phone_use","Fixed or mobile camera",50,0,0
2024,"TAS","Unknown","40-64","mobile_phone_use","Police issued",36,0,1
2024,"TAS","Unknown","40-64","non_wearing_seatbelts","Fixed or mobile camera",143,0,0
2024,"TAS","Unknown","40-64","non_wearing_seatbelts","Police issued",27,0,0
2024,"TAS","Unknown","40-64","speed_fines","Fixed or mobile camera",2471,0,0
2024,"TAS","Unknown","40-64","speed_fines","Police issued",649,0,10
2024,"TAS","Unknown","40-64","unlicensed_driving","Not applicable",7,0,32
2024,"TAS","Unknown","65 and over","mobile_phone_use","Fixed or mobile camera",9,0,0
2024,"TAS","Unknown","65 and over","mobile_phone_use","Police issued",10,0,0
2024,"TAS","Unknown","65 and over","non_wearing_seatbelts","Fixed or mobile camera",71,0,0
2024,"TAS","Unknown","65 and over","non_wearing_seatbelts","Police issued",16,0,1
2024,"TAS","Unknown","65 and over","speed_fines","Fixed or mobile camera",933,0,0
2024,"TAS","Unknown","65 and over","speed_fines","Police issued",179,0,0
2024,"TAS","Unknown","65 and over","unlicensed_driving","Not applicable",2,0,2
2024,"VIC","Inner Regional Australia","12-16","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","12-16","mobile_phone_use","Mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","12-16","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","12-16","non_wearing_seatbelts","Mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","12-16","speed_fines","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","12-16","speed_fines","Mobile camera",0,0,0
2024,"VIC","Inner Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","17-25","mobile_phone_use","Mobile camera",101,0,0
2024,"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",64,0,0
2024,"VIC","Inner Regional Australia","17-25","speed_fines","Fixed camera",138,0,0
2024,"VIC","Inner Regional Australia","17-25","speed_fines","Mobile camera",574,0,0
2024,"VIC","Inner Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","26-39","mobile_phone_use","Mobile camera",387,0,0
2024,"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",217,0,0
2024,"VIC","Inner Regional Australia","26-39","speed_fines","Fixed camera",503,0,0
2024,"VIC","Inner Regional Australia","26-39","speed_fines","Mobile camera",1956,0,0
2024,"VIC","Inner Regional Australia","40-64","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","40-64","mobile_phone_use","Mobile camera",502,0,0
2024,"VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Mobile camera",338,0,0
2024,"VIC","Inner Regional Australia","40-64","speed_fines","Fixed camera",882,0,0
2024,"VIC","Inner Regional Australia","40-64","speed_fines","Mobile camera",3176,0,0
2024,"VIC","Inner Regional Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","65 and over","mobile_phone_use","Mobile camera",85,0,0
2024,"VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts","Mobile camera",124,0,0
2024,"VIC","Inner Regional Australia","65 and over","speed_fines","Fixed camera",377,0,0
2024,"VIC","Inner Regional Australia","65 and over","speed_fines","Mobile camera",1306,0,0
2024,"VIC","Major Cities of Australia","12-16","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","12-16","mobile_phone_use","Mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","12-16","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","12-16","non_wearing_seatbelts","Mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","12-16","speed_fines","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","12-16","speed_fines","Mobile camera",0,0,0
2024,"VIC","Major Cities of Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","17-25","mobile_phone_use","Mobile camera",290,0,0
2024,"VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Mobile camera",260,0,0
2024,"VIC","Major Cities of Australia","17-25","speed_fines","Fixed camera",3335,0,0
2024,"VIC","Major Cities of Australia","17-25","speed_fines","Mobile camera",2263,0,0
2024,"VIC","Major Cities of Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","26-39","mobile_phone_use","Mobile camera",1402,0,0
2024,"VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Mobile camera",1167,0,0
2024,"VIC","Major Cities of Australia","26-39","speed_fines","Fixed camera",12612,0,0
2024,"VIC","Major Cities of Australia","26-39","speed_fines","Mobile camera",8905,0,0
2024,"VIC","Major Cities of Australia","40-64","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","40-64","mobile_phone_use","Mobile camera",1884,0,0
2024,"VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Mobile camera",1662,0,0
2024,"VIC","Major Cities of Australia","40-64","speed_fines","Fixed camera",21894,0,0
2024,"VIC","Major Cities of Australia","40-64","speed_fines","Mobile camera",13426,0,0
2024,"VIC","Major Cities of Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","65 and over","mobile_phone_use","Mobile camera",289,0,0
2024,"VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Mobile camera",521,0,0
2024,"VIC","Major Cities of Australia","65 and over","speed_fines","Fixed camera",6792,0,0
2024,"VIC","Major Cities of Australia","65 and over","speed_fines","Mobile camera",4162,0,0
2024,"VIC","Outer Regional Australia","12-16","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","12-16","mobile_phone_use","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","12-16","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","12-16","non_wearing_seatbelts","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","12-16","speed_fines","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","12-16","speed_fines","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","17-25","mobile_phone_use","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","17-25","speed_fines","Fixed camera",5,0,0
2024,"VIC","Outer Regional Australia","17-25","speed_fines","Mobile camera",101,0,0
2024,"VIC","Outer Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","26-39","mobile_phone_use","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
2024,"VIC","Outer Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",0,0,0
2024,"VIC","Outer Regional Australia","26-39","speed_fines","Fixed camera",7,0,0
2024,"VIC","Outer Regional Australia","26-39","speed_fines","Mobile camera",354,0,0
